date,stage,group,home_team,away_team,home_score,away_score,winner,played
2026-06-11,group,A,Mexico,South Africa,2,0,,1
2026-06-11,group,A,South Korea,Czech Republic,2,1,,1
2026-06-12,group,B,Canada,Bosnia and Herzegovina,1,1,,1
2026-06-12,group,D,United States,Paraguay,4,1,,1
2026-06-13,group,B,Qatar,Switzerland,1,1,,1
2026-06-13,group,C,Brazil,Morocco,1,1,,1
2026-06-13,group,C,Haiti,Scotland,1,1,,1
2026-06-13,group,D,Australia,Turkey,2,0,,1
2026-06-14,group,E,Germany,Curaçao,7,1,,1
2026-06-14,group,E,Ivory Coast,Ecuador,1,0,,1
2026-06-14,group,F,Netherlands,Japan,2,2,,1
2026-06-14,group,F,Sweden,Tunisia,5,1,,1
2026-06-15,group,G,Belgium,Egypt,1,1,,1
2026-06-15,group,G,Iran,New Zealand,2,2,,1
2026-06-15,group,H,Spain,Cape Verde,0,0,,1
2026-06-15,group,H,Saudi Arabia,Uruguay,1,1,,1
2026-06-16,group,I,France,Senegal,3,1,,1
2026-06-16,group,I,Iraq,Norway,1,4,,1
2026-06-16,group,J,Argentina,Algeria,3,0,,1
2026-06-16,group,J,Austria,Jordan,3,1,,1
2026-06-17,group,K,Portugal,DR Congo,1,1,,1
2026-06-17,group,K,Uzbekistan,Colombia,1,3,,1
2026-06-17,group,L,England,Croatia,4,2,,1
2026-06-17,group,L,Ghana,Panama,1,0,,1
2026-06-18,group,A,Czech Republic,South Africa,1,1,,1
2026-06-18,group,A,Mexico,South Korea,1,0,,1
2026-06-18,group,B,Switzerland,Bosnia and Herzegovina,4,1,,1
2026-06-18,group,B,Canada,Qatar,6,0,,1
2026-06-19,group,C,Scotland,Morocco,0,1,,1
2026-06-19,group,C,Brazil,Haiti,3,0,,1
2026-06-19,group,D,United States,Australia,2,0,,1
2026-06-19,group,D,Turkey,Paraguay,0,1,,1
2026-06-20,group,E,Germany,Ivory Coast,2,1,,1
2026-06-20,group,E,Ecuador,Curaçao,0,0,,1
2026-06-20,group,F,Netherlands,Sweden,5,1,,1
2026-06-20,group,F,Tunisia,Japan,0,4,,1
2026-06-21,group,G,Belgium,Iran,0,0,,1
2026-06-21,group,G,New Zealand,Egypt,1,3,,1
2026-06-21,group,H,Spain,Saudi Arabia,4,0,,1
2026-06-21,group,H,Uruguay,Cape Verde,2,2,,1
2026-06-22,group,I,France,Iraq,3,0,,1
2026-06-22,group,I,Norway,Senegal,3,2,,1
2026-06-22,group,J,Argentina,Austria,2,0,,1
2026-06-22,group,J,Jordan,Algeria,1,2,,1
2026-06-23,group,K,Portugal,Uzbekistan,5,0,,1
2026-06-23,group,K,Colombia,DR Congo,1,0,,1
2026-06-23,group,L,England,Ghana,0,0,,1
2026-06-23,group,L,Panama,Croatia,0,1,,1
2026-06-24,group,A,Czech Republic,Mexico,0,3,,1
2026-06-24,group,A,South Africa,South Korea,1,0,,1
2026-06-24,group,B,Switzerland,Canada,2,1,,1
2026-06-24,group,B,Bosnia and Herzegovina,Qatar,3,1,,1
2026-06-24,group,C,Scotland,Brazil,0,3,,1
2026-06-24,group,C,Morocco,Haiti,4,2,,1
2026-06-25,group,D,Turkey,United States,3,2,,1
2026-06-25,group,D,Paraguay,Australia,0,0,,1
2026-06-25,group,E,Curaçao,Ivory Coast,0,2,,1
2026-06-25,group,E,Ecuador,Germany,2,1,,1
2026-06-25,group,F,Japan,Sweden,1,1,,1
2026-06-25,group,F,Tunisia,Netherlands,1,3,,1
2026-06-26,group,G,Egypt,Iran,1,1,,1
2026-06-26,group,G,New Zealand,Belgium,1,5,,1
2026-06-26,group,H,Cape Verde,Saudi Arabia,0,0,,1
2026-06-26,group,H,Uruguay,Spain,0,1,,1
2026-06-26,group,I,Norway,France,1,4,,1
2026-06-26,group,I,Senegal,Iraq,5,0,,1
2026-06-27,group,J,Algeria,Austria,3,3,,1
2026-06-27,group,J,Jordan,Argentina,1,3,,1
2026-06-27,group,K,Colombia,Portugal,0,0,,1
2026-06-27,group,K,DR Congo,Uzbekistan,3,1,,1
2026-06-27,group,L,Panama,England,0,2,,1
2026-06-27,group,L,Croatia,Ghana,2,1,,1
2026-06-28,R32,,South Africa,Canada,0,1,,1
2026-06-29,R32,,Brazil,Japan,,,,0
2026-06-29,R32,,Germany,Paraguay,,,,0
2026-06-29,R32,,Netherlands,Morocco,,,,0
2026-06-30,R32,,Ivory Coast,Norway,,,,0
2026-06-30,R32,,France,Sweden,,,,0
2026-06-30,R32,,Mexico,Ecuador,,,,0
2026-07-01,R32,,England,DR Congo,,,,0
2026-07-01,R32,,Belgium,Senegal,,,,0
2026-07-01,R32,,United States,Bosnia and Herzegovina,,,,0
2026-07-02,R32,,Spain,Austria,,,,0
2026-07-02,R32,,Portugal,Croatia,,,,0
2026-07-02,R32,,Switzerland,Algeria,,,,0
2026-07-03,R32,,Australia,Egypt,,,,0
2026-07-03,R32,,Argentina,Cape Verde,,,,0
2026-07-03,R32,,Colombia,Ghana,,,,0
